trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,-100,-500.8595098663814,"{0: 69, 1: 21, 2: 18, 3: 8, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,-98,-528.9107177764555,"{0: 70, 1: 12, 2: 26, 3: 5, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,-12,-164.19469535447308,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,-25,-196.4400124761126,"{0: 28, 1: 6, 2: 7, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,-100,-461.5840002425504,"{0: 83, 1: 13, 2: 20, 3: 3, 4: 6}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,-100,-630.5908560214724,"{0: 75, 1: 10, 2: 22, 3: 3, 4: 10}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,-8,-275.05552063389337,"{0: 17, 1: 3, 2: 13, 3: 2, 4: 3}",0
